Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Date
ABR,ARBOR REALTY TRUST INC,Financial Institutions,Equity,"$19,187,765.19",0.14,"19,187,765.19","861,597.00",038923850,US0389238504,BLR4KW3,"Oct 12, 2021"
TWO,TWO HARBORS INVESTMENT CORP,Financial Institutions,Equity,"$18,722,975.04",0.14,"18,722,975.04","755,568.00",90187B309,US90187B3096,BYZBR93,"Jul 19, 2017"
TWO,TWO HARBORS INVESTMENT CORP,Financial Institutions,Equity,"$17,940,820.15",0.13,"17,940,820.15","718,495.00",90187B507,US90187B5075,BFNL297,"Nov 27, 2017"
ABR,ARBOR REALTY TRUST INC,Financial Institutions,Equity,"$12,195,525.80",0.09,"12,195,525.80","698,884.00",038923876,US0389238769,BLN9LD0,"Jun 02, 2021"
TWO,TWO HARBORS INVESTMENT CORP,Financial Institutions,Equity,"$9,331,146.00",0.07,"9,331,146.00","375,650.00",90187B200,US90187B2007,BYXYWC2,"Mar 14, 2017"
TWO,TWO HARBORS INVESTMENT CORP,Financial Institutions,Equity,"$8,726,023.50",0.06,"8,726,023.50","342,197.00",90187B887,US90187B8871,BV98C16,"May 13, 2025"
ABR,ARBOR REALTY TRUST INC,Financial Institutions,Equity,"$7,665,559.20",0.06,"7,665,559.20","436,784.00",038923868,US0389238686,BNVY346,"Aug 11, 2021"
