Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Original Name
RF,REGIONS FINANCIAL,RF,17.31,REGIONS FINL DRC CORP,0.15,20597376.72,REGIONS FINL DRC CORP
BHF,BRIGHTHOUSE FINANCIAL,BHF,16.42,BRIGHTHOUSE FINANCIAL INC,0.15,21042771.86,BRIGHTHOUSE FINANCIAL INC
BHF,BRIGHTHOUSE FINANCIAL,BHF,16.72,BRIGHTHOUSE FINANCIAL INC,0.15,20295906.4,BRIGHTHOUSE FINANCIAL INC
FCNCA,FIRST CITIZENS BANCSHARES INC.,FCNCA,20.88,FIRST CITIZENS BANCSHARES INC.,0.15,21367339.2,FIRST CITIZENS BANCSHARES INC.
ACGL,ARCH CAPITAL GROUP LTD.,ACGL,20.84,ARCH CAPITAL GROUP LTD.,0.15,20460357.72,ARCH CAPITAL GROUP LTD.
ABR,ARBOR REALTY TRUST,ABR-F,22.27,ARBOR REALTY TRUST INC,0.14,19187765.19,ARBOR REALTY TRUST INC
TWO,TWO HARBORS INVESTMENT,TWO,24.78,TWO HARBORS INVESTMENT CORP,0.14,18722975.04,TWO HARBORS INVESTMENT CORP
BNCN,BROOKFIELD FINANCE,BNCN,15.95,BROOKFIELD FINANCE INC,0.14,18973944.09,BROOKFIELD FINANCE INC
TCBI,TEXAS CAP BANCSHARES,TCBI,21.37,TEXAS CAP BANCSHARES DRC INC,0.14,19017291.22,TEXAS CAP BANCSHARES DRC INC
PSA,PUBLIC STORAGE,PSA,21.01,PUBLIC STORAGE,0.14,18751403.99,PUBLIC STORAGE
HPP,HUDSON PACIFIC PROPERTIES,HPP,15.5,HUDSON PACIFIC PROPERTIES INC,0.14,19598277.5,HUDSON PACIFIC PROPERTIES INC
AMG,AFFILIATED MANAGERS GROUP INC.,AMG,21.45,AFFILIATED MANAGERS GROUP INC.,0.14,19144103.55,AFFILIATED MANAGERS GROUP INC.
CMS,CMS ENERGY,CMS,23.55,CMS ENERGY CORPORATION,0.14,19615360.2,CMS ENERGY CORPORATION
MFA,MFA FINANCIAL,MFA,23.29,MFA FINANCIAL INC,0.14,19053129.78,MFA FINANCIAL INC
BHF,BRIGHTHOUSE FINANCIAL,BHF,17.62,BRIGHTHOUSE FINANCIAL INC,0.14,19924872.2,BRIGHTHOUSE FINANCIAL INC
PSA,PUBLIC STORAGE,PSA,23.45,PUBLIC STORAGE,0.14,19883981.95,PUBLIC STORAGE
SO,SOUTHERN COMPANY (THE),SO,23.14,GEORGIA POWER COMPANY,0.13,18588662.82,GEORGIA POWER COMPANY
NAVI,NAVIENT PRCNT SENIOR NOTES EXP D,NAVI,19.53,NAVIENT PRCNT SENIOR NOTES EXP D,0.13,17430505.47,NAVIENT PRCNT SENIOR NOTES EXP D
MTB,M T BK DEP INT PERP PFD STK SER J,MTB,25.05,M AND T BANK PERPETUAL FIXED TO FL,0.13,18627555.75,M AND T BANK PERPETUAL FIXED TO FL
PSA,PUBLIC STORAGE,PSA,21.05,PUBLIC STORAGE DS REPRESENTING TH,0.13,17533050.2,PUBLIC STORAGE DS REPRESENTING TH
PSA,PUBLIC STORAGE,PSA,19.58,PUBLIC STORAGE REPSTG TH BEN INT,0.13,18421236.02,PUBLIC STORAGE REPSTG TH BEN INT
DBRG,DIGITALBRIDGE GROUP .15 CUMULATIVE,DBRG,19.15,DIGITALBRIDGE GROUP .15 CUMULATIVE,0.13,18324960.55,DIGITALBRIDGE GROUP .15 CUMULATIVE
RILY,B. RILEY FINANCIAL,RILY,15.91,B. RILEY FINANCIAL INC,0.13,18342702.64,B. RILEY FINANCIAL INC
DHC,DIVERSIFIED HEALTHCARE .625% SENIO,DHC,17.14,DIVERSIFIED HEALTHCARE .625% SENIO,0.13,17847333.52,DIVERSIFIED HEALTHCARE .625% SENIO
KREF,KKR REAL ESTATE FINANCE TRUST,KREF,18.21,KKR REAL ESTATE FINANCE TRUST INC,0.13,17754950.31,KKR REAL ESTATE FINANCE TRUST INC
TVA,TENN VALLEY AUTHORITY,TVA,24.37,TENN VALLEY AUTHORITY,0.13,18592238.55,TENN VALLEY AUTHORITY
SR,SPIRE,SR,24.97,SPIRE INC,0.13,18568665.83,SPIRE INC
TWO,TWO HARBORS INVESTMENT,TWO,24.97,TWO HARBORS INVESTMENT CORP,0.13,17940820.15,TWO HARBORS INVESTMENT CORP
WRB,WR BERKLEY,WRB,20.51,WR BERKLEY CORPORATION,0.13,18305154.49,WR BERKLEY CORPORATION
WSBC,WESBANCO,WSBC,25.64,WESBANCO INC,0.13,17779211.88,WESBANCO INC
NRUC,NATIONAL RURAL UTILITIES COOPERATI,NRUC,24.12,NATIONAL RURAL UTILITIES COOPERATI,0.13,17936813.88,NATIONAL RURAL UTILITIES COOPERATI
AGNC,AGNC INVESTMENT,AGNC,24.83,AGNC INVESTMENT CORP,0.13,17357932.93,AGNC INVESTMENT CORP
ALL,ALLSTATE CORPORATION (THE),ALL,19.64,ALLSTATE CORPORATION (THE),0.13,17528680.36,ALLSTATE CORPORATION (THE)
RITM,NEW RESIDENTIAL INVESTMENT,RITM,24.8,RITHM CAPITAL CORP,0.13,18450604.8,RITHM CAPITAL CORP
KMI,EL PASO ENERGY CAPITAL TRUST I,KMI,50.16,EL PASO ENERGY CAPITAL TRUST I,0.12,16452580.32,EL PASO ENERGY CAPITAL TRUST I
ETR,ENTERGY ARKANSAS LLC,ETR,20.67,ENTERGY MISSISSIPPI INC,0.12,15988513.71,ENTERGY MISSISSIPPI INC
AHL,ASPEN INSURANCE HOLDINGS,AHL,24.37,ASPEN INSURANCE HOLDINGS LTD,0.12,16312961.19,ASPEN INSURANCE HOLDINGS LTD
MBIN,MERCHANTS BANCORP,MBIN,24.75,MERCHANTS BANCORP,0.12,16934667.75,MERCHANTS BANCORP
OZK,BANK OZK,OZK,16.41,BANK OZK,0.12,17086797.63,BANK OZK
PNFP PR C,PINNACLE FINANCIAL PARTNERS DEPOSI,PNFP PR C,25.0,PINNACLE FINANCIAL PARTNERS DEPOSI,0.12,16685000.0,PINNACLE FINANCIAL PARTNERS DEPOSI
DBRG,DIGITALBRIDGE GROUP .15 CUMULATIVE,DBRG,19.0,DIGITALBRIDGE GROUP INC,0.12,16402415.0,DIGITALBRIDGE GROUP INC
VNO,VORNADO REALTY TRUST,VNO,17.99,VORNADO REALTY TRUST 5.4% CUM RED,0.12,16053915.01,VORNADO REALTY TRUST 5.4% CUM RED
VNO,VORNADO REALTY TRUST,VNO,17.5,VORNADO REALTY TRUST,0.12,16632997.5,VORNADO REALTY TRUST
BUSE,FIRST BUSEY,BUSE,26.13,FIRST BUSEY CORPORATION,0.12,16711755.06,FIRST BUSEY CORPORATION
ETR,ENTERGY ARKANSAS LLC,ETR,20.8,ENTERGY LOUISIANA LLC,0.12,16708390.4,ENTERGY LOUISIANA LLC
FBRT,FRANKLIN BSP REALTY TRUST CUMULA,FBRT,21.9,FRANKLIN BSP REALTY TRUST CUMULA,0.12,16824368.4,FRANKLIN BSP REALTY TRUST CUMULA
AHL,ASPEN INSURANCE HOLDINGS,AHL,19.68,ASPEN INSURANCE HOLDINGS LTD,0.12,16357810.76,ASPEN INSURANCE HOLDINGS LTD
GL,GLOBE LIFE,GL,16.9,GLOBE LIFE INC,0.12,16339765.0,GLOBE LIFE INC
CIM,CHIMERA INVESTMENT,CIM,21.77,CHIMERA INVESTMENT CORP,0.12,16839399.78,CHIMERA INVESTMENT CORP
RNR,RENAISSANCERE HOLDINGS,RNR,22.45,RENAISSANCERE HOLDINGS LTD,0.12,16694695.55,RENAISSANCERE HOLDINGS LTD
KIM,KIMCO RLTY DS REPRESENTING CLASS,KIM,20.66,KIMCO RLTY DS REPRESENTING CLASS,0.12,16081041.56,KIMCO RLTY DS REPRESENTING CLASS
SF,STIFEL FINANCIAL,SF,17.21,STIFEL FINANCIAL CORP,0.11,15359907.79,STIFEL FINANCIAL CORP
FITB,FIFTH THIRD BANCORP DEPOSITARY SHA,FITB,19.67,FIFTH THIRD BANCORP,0.11,14587055.63,FIFTH THIRD BANCORP
BIP,BIP BERMUDA HOLDINGS I,BIP,16.88,BIP BERMUDA HOLDINGS I LTD,0.11,15062973.37,BIP BERMUDA HOLDINGS I LTD
WRB,WR BERKLEY,WRB,17.33,WR BERKLEY CORPORATION,0.11,15467007.67,WR BERKLEY CORPORATION
TVA,TENN VALLEY AUTHORITY,TVA,24.43,TENN VALLEY AUTH,0.11,15141567.42,TENN VALLEY AUTH
SPNT,SIRIUSPOINT,SPNT,25.43,SIRIUSPOINT LTD,0.11,15453582.13,SIRIUSPOINT LTD
GNL,GLOBAL NET LEASE CUMULATIVE REDE,GNL,24.69,GLOBAL NET LEASE CUMULATIVE REDE,0.11,14569815.9,GLOBAL NET LEASE CUMULATIVE REDE
VNO,VORNADO REALTY TRUST,VNO,17.68,VORNADO REALTY TRUST,0.11,15779382.32,VORNADO REALTY TRUST
SR,SPIRE,SR,24.75,SPIRE INC,0.11,14730878.25,SPIRE INC
BRBRPH,BROOKFIELD BRP HOLDINGS (CANADA) I,BRBRPH,15.04,BROOKFIELD BRP HOLDINGS (CANADA) I,0.11,15638501.76,BROOKFIELD BRP HOLDINGS (CANADA) I
WAFD,WASHINGTON FEDERAL,WAFD,16.57,WASHINGTON FEDERAL INC,0.11,15104366.93,WASHINGTON FEDERAL INC
SF,STIFEL FINANCIAL,SF,23.61,STIFEL FINANCIAL CORP,0.11,15803825.44,STIFEL FINANCIAL CORP
PNFP PR A,PINNACLE FINANCIAL PARTNERS NON CU,PNFP PR A,25.03,PINNACLE FINANCIAL PARTNERS NON CU,0.11,15357607.04,PINNACLE FINANCIAL PARTNERS NON CU
AIZ,ASSURANT,AIZ,21.01,ASSURANT INC,0.11,15623855.39,ASSURANT INC
DLR,DIGITAL REALTY TRUST,DLR,23.49,DIGITAL REALTY TRUST INC,0.11,14676998.31,DIGITAL REALTY TRUST INC
OAK,OAKTREE CAPITAL GROUP LLC,OAK,21.6,OAKTREE CAPITAL GROUP LLC,0.11,15100003.51,OAKTREE CAPITAL GROUP LLC
EQH,EQUITABLE HLDNGS DRC REPRESENTING,EQH,16.25,EQUITABLE HOLDINGS INC,0.11,14812671.25,EQUITABLE HOLDINGS INC
BC,BRUNSWICK,BC,24.84,BRUNSWICK CORPORATION,0.11,15886701.49,BRUNSWICK CORPORATION
SLG,SL GREEN REALTY,SLG,21.95,SL GREEN REALTY CORP,0.11,15018826.55,SL GREEN REALTY CORP
DDS,DILLARDS CAP TR I CAP SECS 7.5%,DDS,26.16,DILLARDS CAP TR I CAP SECS 7.5%,0.11,15563735.04,DILLARDS CAP TR I CAP SECS 7.5%
TRTN,TRITON INTERNATIONAL,TRTN,25.03,TRITON INTERNATIONAL LTD,0.1,13199996.01,TRITON INTERNATIONAL LTD
VNO,VORNADO REALTY TRUST,VNO,15.07,VORNADO REALTY TRUST,0.1,13619949.53,VORNADO REALTY TRUST
FITB,FIFTH THIRD BANCORP DEPOSITARY SHA,FITB,24.53,FIFTH THIRD BANCORP DEPOSITORY SH,0.1,14552545.15,FIFTH THIRD BANCORP DEPOSITORY SH
SLM,SLM,SLM,74.48,SLM CORP,0.1,13907575.92,SLM CORP
CMS,CMS ENERGY,CMS,22.68,CMS ENERGY CORPORATION,0.1,13665743.28,CMS ENERGY CORPORATION
AMG,AFFILIATED MANAGERS GROUP INC.,AMG,17.51,AFFILIATED MANAGERS GROUP INC.,0.1,14520832.88,AFFILIATED MANAGERS GROUP INC.
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,PMT,19.5,PENNYMAC MORTGAGE INVESTMENT TRUST,0.1,14501054.36,PENNYMAC MORTGAGE INVESTMENT TRUST
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,PMT,24.22,PENNYMAC MORTGAGE INVESTMENT TRUST,0.1,14051886.94,PENNYMAC MORTGAGE INVESTMENT TRUST
PSA,PUBLIC STORAGE,PSA,19.1,PUBLIC STORAGE,0.1,13235383.2,PUBLIC STORAGE
PSA,PUBLIC STORAGE,PSA,18.88,PUBLIC STORAGE DEP SHS REPSTG TH,0.1,14527861.0,PUBLIC STORAGE DEP SHS REPSTG TH
RILY,B. RILEY FINANCIAL,RILY,22.68,B. RILEY FINANCIAL INC,0.1,13527191.16,B. RILEY FINANCIAL INC
PSA,PUBLIC STORAGE,PSA,15.51,PUBLIC STORAGE DEP SHS REPSTG PF,0.1,13200126.72,PUBLIC STORAGE DEP SHS REPSTG PF
RITM,NEW RESIDENTIAL INVESTMENT,RITM,24.64,RITHM CAPITAL CORP,0.1,14119656.32,RITHM CAPITAL CORP
KIM,KIMCO RLTY DS REPRESENTING CLASS,KIM,19.96,KIMCO REALTY CORPORATION,0.1,13216773.48,KIMCO REALTY CORPORATION
SF,STIFEL FINANCIAL,SF,20.49,STIFEL FINANCIAL CORP,0.1,13715739.63,STIFEL FINANCIAL CORP
BAC,BANK OF AMERICA,BAC,19.49,BANK OF AMERICA CORPORATION PFD 1,0.1,14497539.05,BANK OF AMERICA CORPORATION PFD 1
PEB,PEBBLEBROOK HOTEL TRUST,PEB,20.05,PEBBLEBROOK HOTEL TRUST,0.1,13718290.2,PEBBLEBROOK HOTEL TRUST
DTE,DTE ENERGY,DTE,17.46,DTE ENERGY CO,0.1,14542416.54,DTE ENERGY CO
DHC,DIVERSIFIED HEALTHCARE .625% SENIO,DHC,18.23,DIVERSIFIED HEALTHCARE .25% SENIOR,0.1,13741208.87,DIVERSIFIED HEALTHCARE .25% SENIOR
NSA,NATIONAL STORAGE AFFILIATES REDEEM,NSA,20.62,NATIONAL STORAGE AFFILIATES REDEEM,0.1,13856743.1,NATIONAL STORAGE AFFILIATES REDEEM
CIM,CHIMERA INVESTMENT,CIM,23.31,CHIMERA INVESTMENT CORP,0.1,14168424.06,CHIMERA INVESTMENT CORP
ADAM,NEW YORK MORTGAGE TRUST,ADAM,25.36,NEW YORK MORTGAGE TRUST INC,0.1,14066228.32,NEW YORK MORTGAGE TRUST INC
AHL,ASPEN INSURANCE HOLDINGS,AHL,19.83,ASPEN INSURANCE HOLDINGS LTD,0.09,13007250.54,ASPEN INSURANCE HOLDINGS LTD
ATLC,ATLANTICUS HOLDINGS,ATLC,25.51,ATLANTICUS HOLDINGS CORP,0.09,12715076.85,ATLANTICUS HOLDINGS CORP
ABR,ARBOR REALTY TRUST,ABR-D,17.45,ARBOR REALTY TRUST INC,0.09,12195525.8,ARBOR REALTY TRUST INC
FCNCA,FIRST CITIZENS BANCSHARES INC.,FCNCA,21.93,FIRST CITIZENS BANCSHARES NON CU,0.09,13010104.08,FIRST CITIZENS BANCSHARES NON CU
AUB,ATLANTIC UNION BANKSHARES,AUB,24.81,ATLANTIC UNION BANKSHARES CORP,0.09,12945014.46,ATLANTIC UNION BANKSHARES CORP
LBRDA,LIBERTY BROADBAND CUM REDEEMABLE P,LBRDA,24.03,LIBERTY BROADBAND CUM REDEEMABLE P,0.09,12838700.34,LIBERTY BROADBAND CUM REDEEMABLE P
EIX,SCE TRUST VII,EIX,18.73,SCE TRUST II CUM TRUST SECS P,0.09,12254183.03,SCE TRUST II CUM TRUST SECS P
DTE,DTE ENERGY,DTE,17.39,DTE ENERGY COMPANY,0.09,11898307.56,DTE ENERGY COMPANY
DLR,DIGITAL REALTY TRUST,DLR,20.39,DIGITAL REALTY TRUST INC,0.09,12130928.55,DIGITAL REALTY TRUST INC
IVR,INVESCO MORTGAGE CAPITAL,IVR,25.0,INVESCO MORTGAGE CAPITAL INC,0.09,12991398.03,INVESCO MORTGAGE CAPITAL INC
CMS,CMS ENERGY,CMS,17.65,CMS ENERGY CORPORATION,0.09,12076200.6,CMS ENERGY CORPORATION
CODI,COMPASS DIVERSIFIED HOLDINGS,CODI,20.41,COMPASS DIVERSIFIED HOLDINGS,0.09,12001975.61,COMPASS DIVERSIFIED HOLDINGS
RILY,B. RILEY FINANCIAL,RILY,23.19,B. RILEY FINANCIAL INC,0.09,12456160.65,B. RILEY FINANCIAL INC
HBAN,HUNTINGTON BANCSHARES,HBAN,22.53,HUNTINGTON BANCSHARES INC,0.09,12073331.34,HUNTINGTON BANCSHARES INC
HWC,HANCOCK WHITNEY,HWC,24.13,HANCOCK WHITNEY CORP,0.09,12380644.53,HANCOCK WHITNEY CORP
BOH,BANK OF HAWAII,BOH,26.22,BANK OF HAWAII CORP,0.09,13145842.74,BANK OF HAWAII CORP
WRB,WR BERKLEY,WRB,17.57,WR BERKLEY CORPORATION,0.09,13065737.23,WR BERKLEY CORPORATION
GPMT,GRANITE POINT MORTGAGE TRUST,GPMT,20.76,GRANITE POINT MORTGAGE TRUST INC,0.09,12705203.04,GRANITE POINT MORTGAGE TRUST INC
BHF,BRIGHTHOUSE FINANCIAL,BHF,11.81,BRIGHTHOUSE FINANCIAL INC,0.09,12297079.83,BRIGHTHOUSE FINANCIAL INC
BIP,BIP BERMUDA HOLDINGS I,BIP,16.65,BROOKFIELD INFRASTRUCTURE FINANCE,0.09,12381589.35,BROOKFIELD INFRASTRUCTURE FINANCE
BRBRPH,BROOKFIELD BRP HOLDINGS (CANADA) I,BRBRPH,15.95,BROOKFIELD BRP HOLDINGS (CANADA) I,0.09,12333664.79,BROOKFIELD BRP HOLDINGS (CANADA) I
TGP,TEEKAY LNG PARTNERS LP,TGP,25.89,TEEKAY LNG PARTNERS LP,0.09,12495989.73,TEEKAY LNG PARTNERS LP
TRTGV,TRITON INTL CUM RED PERP PREF SER,TRTGV,24.99,TRITON INTL CUM RED PERP PREF SER,0.09,13013442.54,TRITON INTL CUM RED PERP PREF SER
VLY,VALLEY NATIONAL BANCORP,VLY,26.01,VALLEY NATIONAL BANCORP,0.09,11942673.57,VALLEY NATIONAL BANCORP
WRB,WR BERKLEY,WRB,22.78,WR BERKLEY CORPORATION,0.09,12535879.56,WR BERKLEY CORPORATION
QVCN,QVC,QVCN,8.1,QVC INC,0.09,12054873.6,QVC INC
MFA,MFA FINANCIAL,MFA,20.54,MFA FINANCIAL INC,0.09,12219039.9,MFA FINANCIAL INC
PSA,PUBLIC STORAGE,PSA,16.4,PUBLIC STORAGE DEPOSITARY SHS EACH,0.09,12195269.6,PUBLIC STORAGE DEPOSITARY SHS EACH
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,PMT,25.19,PENNYMAC MORTGAGE INVESTMENT TRUST,0.09,13096331.38,PENNYMAC MORTGAGE INVESTMENT TRUST
GS,GOLDMAN SACHS GROUP,GS,20.35,GOLDMAN SACHS GROUP INC,0.09,12261811.1,GOLDMAN SACHS GROUP INC
DBRG,DIGITALBRIDGE GROUP .15 CUMULATIVE,DBRG,18.95,DIGITALBRIDGE GROUP .125 CUMULATIV,0.09,11990650.46,DIGITALBRIDGE GROUP .125 CUMULATIV
PEB,PEBBLEBROOK HOTEL TRUST,PEB,17.9,PEBBLEBROOK HOTEL TRUST,0.08,10738371.1,PEBBLEBROOK HOTEL TRUST
PSA,PUBLIC STORAGE,PSA,16.51,PUBLIC STORAGE,0.08,11296208.04,PUBLIC STORAGE
BAC,BANK OF AMERICA,BAC,19.57,BANK OF AMERICA CORP,0.08,10709799.92,BANK OF AMERICA CORP
BAC,BANK OF AMERICA,BAC,19.68,BANK OF AMERICA CORP PREF STOCK,0.08,11149054.56,BANK OF AMERICA CORP PREF STOCK
BEPUCN,BROOKFIELD RENEWABLE PARTNERS LP,BEPUCN,18.1,BROOKFIELD RENEWABLE PARTNERS LP,0.08,10723345.0,BROOKFIELD RENEWABLE PARTNERS LP
RILY,B. RILEY FINANCIAL,RILY,17.46,B. RILEY FINANCIAL INC,0.08,11408556.06,B. RILEY FINANCIAL INC
AHH,ARMADA HOFFLER PROPERTIES,AHH,21.21,ARMADA HOFFLER PROPERTIES INC,0.08,10795593.06,ARMADA HOFFLER PROPERTIES INC
AGNCL,AGNC INVESTMENT,AGNCL,25.02,AGNC INVESTMENT CORP,0.08,11164549.5,AGNC INVESTMENT CORP
ATLC,ATLANTICUS HOLDINGS,ATLC,24.95,ATLANTICUS HOLDINGS CORP,0.08,10998109.7,ATLANTICUS HOLDINGS CORP
AFG,AMERICAN FINANCIAL GROUP,AFG,19.06,AMERICAN FINANCIAL GROUP INC,0.08,11484466.51,AMERICAN FINANCIAL GROUP INC
SF,STIFEL FINANCIAL,SF,24.1,STIFEL FINANCIAL CORP,0.08,11619260.7,STIFEL FINANCIAL CORP
ARR,ARMOUR RESIDENTIAL REIT,ARR,21.0,ARMOUR RESIDENTIAL REIT INC,0.08,10721225.95,ARMOUR RESIDENTIAL REIT INC
BIP,BIP BERMUDA HOLDINGS I,BIP,24.39,BROOKFIELD INFRASTRUCTURE FINANCE,0.08,11463397.56,BROOKFIELD INFRASTRUCTURE FINANCE
CIONI,CION INVESTMENT,CIONI,25.27,CION INVESTMENT CORP,0.08,11428483.85,CION INVESTMENT CORP
KMPR,KEMPER,KMPR,23.52,KEMPER CORP,0.08,10495776.48,KEMPER CORP
TRTN,TRITON INTERNATIONAL,TRTN,20.03,TRITON INTERNATIONAL LTD,0.08,10426215.9,TRITON INTERNATIONAL LTD
TRTN,TRITON INTERNATIONAL,TRTN,23.78,TRITON INTERNATIONAL LTD,0.08,10611801.22,TRITON INTERNATIONAL LTD
FHN,FIRST HORIZON NATIONAL,FHN,24.79,FIRST HORIZON NATIONAL CORP,0.08,11061298.0,FIRST HORIZON NATIONAL CORP
BNCN,BROOKFIELD FINANCE,BNCN,15.77,BROOKFIELD FINANCE I UK PLC,0.08,10790291.33,BROOKFIELD FINANCE I UK PLC
GNL,GLOBAL NET LEASE CUMULATIVE REDE,GNL-A,23.27,GLOBAL NET LEASE PREF SERIES A INC,0.08,11766708.2,GLOBAL NET LEASE PREF SERIES A INC
TRTN,TRITON INTERNATIONAL,TRTN,25.36,TRITON INTERNATIONAL LTD,0.08,10846199.99,TRITON INTERNATIONAL LTD
TRTN,TRITON INTERNATIONAL,TRTN,25.16,TRITON INTERNATIONAL LTD,0.08,11230108.73,TRITON INTERNATIONAL LTD
BW,BABCOCK & WILCOX ENTERPRISES,BW,18.93,BABCOCK & WILCOX ENTERPRISES INC,0.08,10797501.63,BABCOCK & WILCOX ENTERPRISES INC
FULT,FULTON FINANCIAL,FULT,18.47,FULTON FINANCIAL CORPORATION,0.08,11014159.69,FULTON FINANCIAL CORPORATION
BRBRPH,BROOKFIELD BRP HOLDINGS (CANADA) I,BRBRPH,24.83,BROOKFIELD BRP HOLDINGS (CANADA) I,0.08,11080362.67,BROOKFIELD BRP HOLDINGS (CANADA) I
TRTX,TPG RE FIN TR PREF SERIES C INC TR,TRTX-C,18.16,TPG RE FIN TR PREF SERIES C INC TR,0.08,10873790.32,TPG RE FIN TR PREF SERIES C INC TR
BPY,BROOKFIELD PROPERTY PREFERRED PREF,BPY,13.73,BROOKFIELD PROPERTY PARTNERS LP,0.08,11747243.33,BROOKFIELD PROPERTY PARTNERS LP
BPY,BROOKFIELD PROPERTY PREFERRED PREF,BPY,15.08,BROOKFIELD PROPERTY PARTNERS LP,0.08,11214091.2,BROOKFIELD PROPERTY PARTNERS LP
CODI,COMPASS DIVERSIFIED HOLDINGS,CODI,20.21,COMPASS DIVERSIFIED HOLDINGS FIXED,0.08,11308909.7,COMPASS DIVERSIFIED HOLDINGS FIXED
OAK,OAKTREE CAPITAL GROUP LLC,OAK,21.66,OAKTREE CAPITAL GROUP LLC,0.08,11756484.84,OAKTREE CAPITAL GROUP LLC
MBIN,MERCHANTS BANCORP,MBIN,25.6,MERCHANTS BANCORP,0.08,10851072.0,MERCHANTS BANCORP
MBIN,MERCHANTS BANCORP,MBIN,20.14,MERCHANTS BANCORP,0.08,11752354.62,MERCHANTS BANCORP
TWO,TWO HARBORS INVESTMENT,TWO,24.84,TWO HARBORS INVESTMENT CORP,0.07,9331146.0,TWO HARBORS INVESTMENT CORP
NYCB,NEW YORK COMMUNITY CAPITAL TRUST V,NYCB,40.7,NEW YORK COMMUNITY CAPITAL TRUST V,0.07,9033202.2,NEW YORK COMMUNITY CAPITAL TRUST V
AFG,AMERICAN FINANCIAL GROUP,AFG,21.06,AMERICAN FINANCIAL GROUP INC,0.07,9395772.7,AMERICAN FINANCIAL GROUP INC
ADAM,NEW YORK MORTGAGE TRUST,ADAM,22.46,NEW YORK MORTGAGE TRUST INC,0.07,10270778.32,NEW YORK MORTGAGE TRUST INC
AFG,AMERICAN FINANCIAL GROUP,AFG,17.21,AMERICAN FINANCIAL GROUP INC,0.07,10370720.48,AMERICAN FINANCIAL GROUP INC
ADAM,NEW YORK MORTGAGE TRUST,ADAM,23.24,NEW YORK MORTGAGE TRUST INC,0.07,10031801.64,NEW YORK MORTGAGE TRUST INC
EPR,EPR PROPERTIES 5.75% CUM CONV PREF,EPR,25.21,EPR PROPERTIES 5.75% CUM CONV PREF,0.07,10111478.9,EPR PROPERTIES 5.75% CUM CONV PREF
CIM,CHIMERA INVESTMENT,CIM,22.11,CHIMERA INVESTMENT CORP,0.07,9738283.17,CHIMERA INVESTMENT CORP
CIM,CHIMERA INVESTMENT,CIM,25.07,CHIMERA INVESTMENT CORP,0.07,9046499.62,CHIMERA INVESTMENT CORP
EPR,EPR PROPERTIES 5.75% CUM CONV PREF,EPR,20.78,EPR PROPERTIES,0.07,9273075.0,EPR PROPERTIES
TGP,TEEKAY LNG PARTNERS LP,TGP,25.46,TEEKAY LNG PARTNERS LP,0.07,9018456.7,TEEKAY LNG PARTNERS LP
ONB,OLD NATIONAL BANCORP DEP SHS EACH,ONB,24.97,OLD NATIONAL BANCORP DEP SHS EACH,0.07,9073298.96,OLD NATIONAL BANCORP DEP SHS EACH
GAIN,GLADSTONE INVESTMENT,GAIN,23.95,GLADSTONE INVESTMENT CORP,0.07,9586634.15,GLADSTONE INVESTMENT CORP
SIGI,SELECTIVE INS GROUP DS REPSTG IN,SIGI,17.07,SELECTIVE INS GROUP DS REPSTG IN,0.07,10152368.1,SELECTIVE INS GROUP DS REPSTG IN
BIP,BIP BERMUDA HOLDINGS I,BIP,16.98,BROOKFIELD INFRASTRUCTURE PARTNERS,0.07,10065871.2,BROOKFIELD INFRASTRUCTURE PARTNERS
BIP,BIP BERMUDA HOLDINGS I,BIP,17.35,BROOKFIELD INFRASTRUCTURE CLASS,0.07,10294449.0,BROOKFIELD INFRASTRUCTURE CLASS
BOH,BANK OF HAWAII,BOH,16.55,BANK OF HAWAII CORP,0.07,9317120.4,BANK OF HAWAII CORP
AMG,AFFILIATED MANAGERS GROUP INC.,AMG,15.49,AFFILIATED MANAGERS GROUP INC.,0.07,9415286.7,AFFILIATED MANAGERS GROUP INC.
GAIN,GLADSTONE INVESTMENT,GAIN,25.64,GLADSTONE INVESTMENT CORP,0.07,9650588.32,GLADSTONE INVESTMENT CORP
TFC,TRUIST FINANCIAL,TFC,19.81,TRUIST FINANCIAL DS REPRESENTING,0.07,10135905.36,TRUIST FINANCIAL DS REPRESENTING
GAIN,GLADSTONE INVESTMENT,GAIN,25.06,GLADSTONE INVESTMENT CORP,0.07,9663411.66,GLADSTONE INVESTMENT CORP
RC,READY CAPITAL,RC,24.97,READY CAPITAL CORP,0.07,9782261.9,READY CAPITAL CORP
WBS,WEBSTER FINANCIAL,WBS,21.34,WEBSTER FINANCIAL DRC CORP,0.07,9521908.0,WEBSTER FINANCIAL DRC CORP
WBS,WEBSTER FINANCIAL,WBS,24.67,WEBSTER FINANCIAL CORPORATION,0.07,9877966.68,WEBSTER FINANCIAL CORPORATION
PEB,PEBBLEBROOK HOTEL TRUST,PEB,19.83,PEBBLEBROOK HOTEL TRUST,0.06,8968058.01,PEBBLEBROOK HOTEL TRUST
EFC,ELLINGTON FINANCIAL,EFC,25.1,ELLINGTON FINANCIAL INC,0.06,8696622.9,ELLINGTON FINANCIAL INC
