Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Original Name
ATH,ATHENE HOLDING DS REPRESENTING P,ATH,24.42,ATHENE HOLDING DS REPRESENTING P,0.45,62660669.94,ATHENE HOLDING DS REPRESENTING P
BAC,BANK OF AMERICA,BAC,22.51,BANK AMER DS REPRESENTING NON CU,0.44,60969460.5,BANK AMER DS REPRESENTING NON CU
SO,SOUTHERN COMPANY (THE),SO,20.4,SOUTHERN COMPANY (THE),0.44,60691203.6,SOUTHERN COMPANY (THE)
WFC,WELLS FARGO & COMPANY SERIES L,WFC,19.22,WELLS FARGO & COMPANY,0.43,59380420.64,WELLS FARGO & COMPANY
MTB,M T BK DEP INT PERP PFD STK SER J,MTB,26.89,M T BK DEP INT PERP PFD STK SER J,0.43,59996457.09,M T BK DEP INT PERP PFD STK SER J
MET,METLIFE,MET,19.6,METLIFE INC,0.42,58311156.4,METLIFE INC
WFC,WELLS FARGO & COMPANY SERIES L,WFC,17.55,WELLS FARGO & COMPANY,0.42,57882058.65,WELLS FARGO & COMPANY
USB,US BANCORP,USB,19.24,US BANCORP,0.41,57073670.68,US BANCORP
MET,METLIFE,MET,23.85,METLIFE INC,0.41,57117959.55,METLIFE INC
CTL,QWEST,CTL,19.6,QWEST CORP,0.41,56996584.4,QWEST CORP
SCHW,CHARLES SCHWAB CORPORATION (THE),SCHW,25.13,CHARLES SCHWAB CORPORATION (THE),0.4,56069603.66,CHARLES SCHWAB CORPORATION (THE)
AEGON,AEGON FUNDING CORPORATION II,AEGON,19.97,AEGON FUNDING CORPORATION II,0.4,54954903.81,AEGON FUNDING CORPORATION II
NOVTV,NOVANTA TANGIBLE EQUITY,NOVTV,59.34,NOVANTA TANGIBLE EQUITY UNITS INC,0.4,55982216.49,NOVANTA TANGIBLE EQUITY UNITS INC
NLY,ANNALY CAPITAL MANAGEMENT,NLY,25.95,ANNALY CAPITAL MANAGEMENT INC,0.4,55584147.45,ANNALY CAPITAL MANAGEMENT INC
