Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Quantity,Original Name
AGNC,AGNC INVESTMENT CORP,AGNCP,24.68,AGNC Investment,0.3,"40,520,759.28","1,641,846.00",AGNC INVESTMENT CORP
SYF,SYNCHRONY FINANCIAL,SYF-A,18.81,Synchrony Financial,0.3,"40,263,952.41","2,140,561.00",SYNCHRONY FINANCIAL
CHSINC,CHS CUMULATIVE REDEEMABLE PREF CLA,CHSCO,25.99,CHS,0.29,"39,814,262.93","1,531,907.00",CHS CUMULATIVE REDEEMABLE PREF CLA
EIX,SCE TRUST VII,SCE-M,24.76,SCE Trust VII,0.29,"38,883,574.44","1,570,419.00",SCE TRUST VII
CHSINC,CHS INC,CHSCL,25.41,CHS,0.28,"37,547,925.03","1,477,683.00",CHS INC
TDS,TELEPHONE AND DATA SYSTEMS INC,TDS-V,18.99,Telephone and Data Systems,0.28,"37,414,496.79","1,970,221.00",TELEPHONE AND DATA SYSTEMS INC
BANC,BANC OF CALIFORNIA INC,BANC-F,25.11,Banc of California (Pacwest),0.27,"36,799,106.76","1,465,516.00",BANC OF CALIFORNIA INC
USB,US BANCORP,USB-P,22.35,US Bancorp,0.27,"36,695,258.10","1,641,846.00",US BANCORP
BAC,BANK OF AMERICA CORP,BAC-O,17.62,Bank of America,0.27,"36,661,828.28","2,080,694.00",BANK OF AMERICA CORP
MET,METLIFE INC,MET-A,21.34,MetLife Inc,0.27,"36,559,538.62","1,713,193.00",METLIFE INC
SYF,SYNCHRONY FINANCIAL,SYF-B,25.36,Synchrony Financial,0.27,"36,208,374.00","1,427,775.00",SYNCHRONY FINANCIAL
RF,REGIONS FINANCIAL CORPORATION,RF-F,25.14,Regions Financial,0.27,"35,894,263.50","1,427,775.00",REGIONS FINANCIAL CORPORATION
ATH,ATHENE HLDG LTD DEP SHR REPSTG I,ATH-E,25.03,Athene Holding LTD,0.26,"35,737,208.25","1,427,775.00",ATHENE HLDG LTD DEP SHR REPSTG I
KEY,KEYCORP,KEY-I,24.93,KeyCorp,0.26,"35,594,430.75","1,427,775.00",KEYCORP
