Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Quantity,Original Name
BPY,BROOKFIELD PROPERTY PARTNERS LP,BPYPN,13.26,Brookfield Property Partners LP,0.08,"10,885,438.98","820,923.00",BROOKFIELD PROPERTY PARTNERS LP
BAC,BANK OF AMERICA CORP PREF STOCK,BAC-E,19.17,Bank of America,0.08,"10,796,333.13","563,189.00",BANK OF AMERICA CORP PREF STOCK
OAK,OAKTREE CAPITAL GROUP LLC,OAK-A,20.91,Oaktree Capital,0.08,"10,748,585.84","513,979.00",OAKTREE CAPITAL GROUP LLC
GPMT,GRANITE POINT MORTGAGE TRUST INC,GPMT-A,18.28,Granite Point Mortgage,0.08,"10,740,011.84","587,528.00",GRANITE POINT MORTGAGE TRUST INC
ATLC,ATLANTICUS HOLDINGS CORP,ATLCL,24.95,Atlanticus Holdings,0.08,"10,574,868.36","423,164.00",ATLANTICUS HOLDINGS CORP
BPY,BROOKFIELD PROPERTY PARTNERS LP,BPYPO,14.79,Brookfield Property Partners LP,0.08,"10,550,244.82","713,819.00",BROOKFIELD PROPERTY PARTNERS LP
TRTN,TRITON INTERNATIONAL LTD,TRTN-F,24.6,Triton International,0.08,"10,532,490.00","428,150.00",TRITON INTERNATIONAL LTD
FHN,FIRST HORIZON NATIONAL CORP,FHN-E,24.54,First Horizon National,0.08,"10,512,960.54","428,401.00",FIRST HORIZON NATIONAL CORP
MBIN,MERCHANTS BANCORP,MBINM,24.9,Merchants Bancorp,0.08,"10,492,212.60","421,374.00",MERCHANTS BANCORP
CODI,COMPASS DIVERSIFIED HOLDINGS FIXED,CODI-B,18.81,Compass Diversified,0.08,"10,463,890.14","556,294.00",COMPASS DIVERSIFIED HOLDINGS FIXED
BAC,BANK OF AMERICA CORP,BML-H,19.13,Bank of America,0.08,"10,407,332.16","544,032.00",BANK OF AMERICA CORP
TRTN,TRITON INTERNATIONAL LTD,TRTN-B,25.14,Triton International,0.08,"10,319,743.74","410,491.00",TRITON INTERNATIONAL LTD
DBRG,DIGITALBRIDGE GROUP .125 CUMULATIV,DBRG-H,17.17,DigitalBridge,0.08,"10,286,718.29","599,281.00",DIGITALBRIDGE GROUP .125 CUMULATIV
BEPUCN,BROOKFIELD RENEWABLE PARTNERS LP,BEP-A,18.01,Brookfield Renewable Partners LP,0.08,"10,259,846.75","569,675.00",BROOKFIELD RENEWABLE PARTNERS LP
PEB,PEBBLEBROOK HOTEL TRUST,PEB-H,18.0,Pebblebrook Hotel Trust,0.08,"10,232,748.00","568,486.00",PEBBLEBROOK HOTEL TRUST
ARR,ARMOUR RESIDENTIAL REIT INC,ARR-C,20.36,Armour Residential REIT,0.07,"9,977,601.24","490,059.00",ARMOUR RESIDENTIAL REIT INC
TRTN,TRITON INTERNATIONAL LTD,TRTN-E,18.93,Triton International,0.07,"9,796,123.56","517,492.00",TRITON INTERNATIONAL LTD
TRTN,TRITON INTERNATIONAL LTD,TRTN-D,22.84,Triton International,0.07,"9,784,678.84","428,401.00",TRITON INTERNATIONAL LTD
BIP,BROOKFIELD INFRASTRUCTURE PARTNERS,BIP-B,16.51,Brookfield Infrastructure Partners,0.07,"9,427,952.95","571,045.00",BROOKFIELD INFRASTRUCTURE PARTNERS
WBS,WEBSTER FINANCIAL DRC CORP,WBS-F,20.5,Webster Financial,0.07,"8,782,220.50","428,401.00",WEBSTER FINANCIAL DRC CORP
TWO,TWO HARBORS INVESTMENT CORP,TWO-A,23.35,Two Harbors Investment,0.06,"8,720,431.10","373,466.00",TWO HARBORS INVESTMENT CORP
EPR,EPR PROPERTIES 5.75% CUM CONV PREF,EPR-C,22.65,EPR Properties,0.06,"8,717,464.05","384,877.00",EPR PROPERTIES 5.75% CUM CONV PREF
EFC,ELLINGTON FINANCIAL INC,EFC-B,24.4,Ellington Financial,0.06,"8,698,868.40","356,511.00",ELLINGTON FINANCIAL INC
EPR,EPR PROPERTIES,EPR-G,20.24,EPR Properties,0.06,"8,670,836.24","428,401.00",EPR PROPERTIES
ADC,AGREE REALTY CORP,ADC-A,17.13,Agree Realty,0.06,"8,560,700.37","499,749.00",AGREE REALTY CORP
PEB,PEBBLEBROOK HOTEL TRUST,PEB-F,19.95,Pebblebrook Hotel (Was LaSalle),0.06,"8,543,627.40","428,252.00",PEBBLEBROOK HOTEL TRUST
ACR,ACRES COMMERCIAL REALTY .625 FIXED,ACR-C,25.0,ACRES Commercial,0.06,"8,528,125.00","341,125.00",ACRES COMMERCIAL REALTY .625 FIXED
LAND,GLADSTONE LAND CORP,LANDO,20.08,Gladstone Land,0.06,"8,512,490.70","423,507.00",GLADSTONE LAND CORP
DX,DYNEX CAPITAL INC,DX-C,25.77,Dynex Capital,0.06,"8,469,458.02","328,657.00",DYNEX CAPITAL INC
BOH,BANK OF HAWAII CORP,BOH-A,16.13,Bank of Hawaii,0.06,"8,419,956.78","522,006.00",BANK OF HAWAII CORP
GSL,GLOBAL SHIP LEASE INC,GSL-B,27.0,Global Ship Lease,0.06,"8,401,914.00","311,182.00",GLOBAL SHIP LEASE INC
INN,SUMMIT HOTEL PROPERTIES INC,INN-E,18.28,Summit Hotel Properties,0.06,"8,350,267.44","456,798.00",SUMMIT HOTEL PROPERTIES INC
CIM,CHIMERA INVESTMENT CORP,CIM-A,20.01,Chimera Investment,0.06,"8,284,800.33","414,033.00",CHIMERA INVESTMENT CORP
FRT,FEDERAL REALTY INVESTMENT DEPOSITA,FRT-C,19.3,Federal Realty Investment Trust,0.06,"8,268,139.30","428,401.00",FEDERAL REALTY INVESTMENT DEPOSITA
MSBI,MIDLAND STATES BANCORP INC,MSBIP,24.96,Midland States Bancorp,0.06,"8,196,090.24","328,369.00",MIDLAND STATES BANCORP INC
CNOB,CONNECTONE BANCORP INC,CNOBP,24.56,ConnectOne Bancorp,0.06,"8,051,583.36","328,368.00",CONNECTONE BANCORP INC
BPY,BROOKFIELD PROPERTY PARTNERS LP,BPYPP,15.14,Brookfield Property Partners LP,0.06,"7,953,518.47","525,446.00",BROOKFIELD PROPERTY PARTNERS LP
AMH,AMERICAN HOMES 4 RENT,AMH-H,23.74,American Homes 4 Rent,0.06,"7,796,228.22","328,377.00",AMERICAN HOMES 4 RENT
CFR,CULLEN FROST BANKERS DRC INC,CFR-B,17.5,Cullen Frost Banker,0.06,"7,763,000.00","443,600.00",CULLEN FROST BANKERS DRC INC
SAR,SARATOGA INVESTMENT CORP,SAT,24.75,Saratoga Investment,0.06,"7,720,290.18","312,057.00",SARATOGA INVESTMENT CORP
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,PMT-A,23.12,PennyMac Mortgage,0.06,"7,592,076.24","328,377.00",PENNYMAC MORTGAGE INVESTMENT TRUST
EPR,EPR PROPERTIES,EPR-E,30.5,EPR Properties,0.06,"7,501,373.57","245,987.00",EPR PROPERTIES
AMH,AMERICAN HOMES 4 RENT,AMH-G,22.79,American Homes 4 Rent,0.06,"7,483,711.83","328,377.00",AMERICAN HOMES 4 RENT
ABR,ARBOR REALTY TRUST INC,ABR-E,16.93,Arbor Realty Trust,0.05,"7,394,753.12","436,784.00",ARBOR REALTY TRUST INC
PSA,PUBLIC STORAGE,PSA-O,15.16,Public Storage,0.05,"7,358,360.80","485,380.00",PUBLIC STORAGE
BAC,BANK OF AMERICA DEPOSITORY SHARES,BML-J,19.74,Bank of America,0.05,"7,336,982.94","371,681.00",BANK OF AMERICA DEPOSITORY SHARES
ACR,ACRES COMMERCIAL REALTY CORP,ACR-D,21.98,ACRES Commercial,0.05,"7,324,307.48","333,226.00",ACRES COMMERCIAL REALTY CORP
SAR,SARATOGA INVESTMENT CORP,SAJ,25.24,Saratoga Investment,0.05,"7,228,337.25","286,725.00",SARATOGA INVESTMENT CORP
GNL,GLOBAL NET LEASE INC,GNL-B,21.44,Global Net Lease,0.05,"7,186,109.12","335,173.00",GLOBAL NET LEASE INC
LOB,LIVE OAK BANCSHARES INC,LOB-A,25.05,Live Oak Bancshares,0.05,"7,152,977.40","285,548.00",LIVE OAK BANCSHARES INC
FAMCA,FEDERAL AGRICULTURAL MORTGAGE CORP,AGM-F,19.81,Federal Agricultural Mortgage,0.05,"7,121,963.97","359,588.00",FEDERAL AGRICULTURAL MORTGAGE CORP
CLDT,CHATHAM LODGING TRUST,CLDT-A,20.28,Chatham Lodging Trust,0.05,"6,948,232.20","342,615.00",CHATHAM LODGING TRUST
BFS,SAUL CENTERS INC,BFS-E,21.89,Saul Centers,0.05,"6,874,138.59","314,031.00",SAUL CENTERS INC
FAMCA,FEDERAL AGRICULTURAL MORTGAGE NO,AGM-G,17.87,Federal Agricultural Mortgage,0.05,"6,698,819.68","374,864.00",FEDERAL AGRICULTURAL MORTGAGE NO
SHO,SUNSTONE HOTEL INVESTORS INC,SHO-H,20.27,Sunstone Hotel Investors,0.05,"6,686,039.23","329,849.00",SUNSTONE HOTEL INVESTORS INC
PSA,PUBLIC STORAGE,PSA-Q,15.31,Public Storage,0.05,"6,648,995.21","434,291.00",PUBLIC STORAGE
PSEC,PROSPECT CAPITAL CORP,PSEC-A,16.92,Prospect Capital,0.05,"6,631,117.20","391,910.00",PROSPECT CAPITAL CORP
PEB,PEBBLEBROOK HOTEL TRUST,PEB-E,19.8,Pebblebrook Hotel (was LaSalle),0.05,"6,496,716.60","328,117.00",PEBBLEBROOK HOTEL TRUST
COF,CAPITAL ONE FINANCIAL CORPORATION,COF-K,17.3,Capital One Financial,0.05,"6,485,043.40","374,858.00",CAPITAL ONE FINANCIAL CORPORATION
FAMCA,FEDERAL AGRICULTURAL MORTGAGE CORP,AGM-D,21.37,Federal Agricultural Mortgage,0.05,"6,405,764.35","299,755.00",FEDERAL AGRICULTURAL MORTGAGE CORP
ASB,ASSOCIATED BANC-CORP,ASB-F,20.26,Associated Banc-Corp,0.05,"6,121,216.33","302,148.00",ASSOCIATED BANC-CORP
CODI,COMPASS DIVERSIFIED HOLDINGS,CODI-A,17.36,Compass Diversified,0.05,"6,078,274.16","350,131.00",COMPASS DIVERSIFIED HOLDINGS
ASB,ASSOCIATED BANC DEPOSITARY SHARES,ASB-E,20.75,Associated Banc-Corp,0.04,"5,924,955.00","285,540.00",ASSOCIATED BANC DEPOSITARY SHARES
MHLD,MAIDEN HOLDINGS NORTH AMERICA LTD,MHNC,12.4,Maiden Holdings LTD,0.04,"5,547,090.40","447,346.00",MAIDEN HOLDINGS NORTH AMERICA LTD
SHO,SUNSTONE HOTEL INVESTORS INC,SHO-I,18.37,Sunstone Hotel Investors,0.04,"5,245,516.76","285,548.00",SUNSTONE HOTEL INVESTORS INC
INN,SUMMIT HOTEL PROPERTIES INC,INN-F,17.59,Summit Hotel Properties,0.04,"5,022,930.04","285,556.00",SUMMIT HOTEL PROPERTIES INC
RC,READY CAPITAL CORP,RC-E,11.54,Ready Capital,0.03,"3,974,654.53","344,451.00",READY CAPITAL CORP
